CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-2021,Female,0,Yes,No,31,Yes,No,DSL,Yes,No,No,No,One year,Yes,Electronic check,45.65,1415.15,No
CUST-2237,Female,0,Yes,No,31,Yes,Yes,Fiber optic,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),20.49,635.19,No
CUST-2240,Male,0,Yes,Yes,27,Yes,Yes,DSL,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),94.42,2549.34,No
CUST-2160,Male,0,No,No,30,Yes,No,DSL,Yes,No,Yes,No,Two year,Yes,Electronic check,57.98,1739.4,No
CUST-1411,Female,0,No,No,41,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,No,Mailed check,56.92,2333.72,Yes
CUST-2178,Male,0,No,Yes,51,Yes,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),61.02,3112.02,No
CUST-2126,Female,0,No,No,31,Yes,Yes,DSL,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),82.66,2562.46,No
CUST-2013,Female,1,No,Yes,24,No,No,No,No,No,Yes,Yes,One year,No,Mailed check,33.66,807.84,No
CUST-2359,Female,0,No,No,51,No,Yes,DSL,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),84.4,4304.4,No
CUST-1136,Female,1,Yes,Yes,10,Yes,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,46.01,460.1,Yes
CUST-2311,Female,0,Yes,No,51,Yes,No,Fiber optic,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),71.41,3641.91,No
CUST-1076,Female,0,Yes,Yes,20,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Credit card (automatic),84.59,1691.8,Yes
CUST-2136,Female,0,No,No,33,No,No,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),70.07,2312.31,No
CUST-2473,Male,0,No,Yes,40,Yes,No phone service,DSL,Yes,No,Yes,Yes,Two year,No,Electronic check,57.06,2282.4,No
CUST-2438,Female,0,No,Yes,26,Yes,No,DSL,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),48.59,1263.34,No
CUST-2399,Female,0,Yes,Yes,40,Yes,No,DSL,Yes,Yes,No,No,One year,No,Mailed check,85.88,3435.2,No
CUST-1280,Male,0,Yes,No,30,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,No,Electronic check,69.51,2085.3,Yes
CUST-2383,Female,0,No,No,39,Yes,No phone service,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),69.74,2719.86,No
CUST-2261,Female,0,Yes,No,46,No,Yes,DSL,Yes,No,Yes,No,One year,No,Mailed check,60.7,2792.2,No
CUST-1319,Female,1,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,106.24,424.96,Yes
CUST-2049,Male,0,Yes,No,72,Yes,No,DSL,Yes,Yes,No,No,One year,Yes,Credit card (automatic),35.68,2568.96,No
