CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-1000,Male,1,Yes,No,52,No,Yes,DSL,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),106.7,5548.4,No
CUST-1001,Female,0,No,Yes,15,Yes,No phone service,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),60.8,912.0,No
CUST-1002,Male,0,No,No,72,No,No,Fiber optic,No,No,No,Yes,One year,No,Electronic check,75.17,5412.24,No
CUST-1003,Male,0,No,Yes,61,No,No phone service,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.39,2768.79,No
CUST-1004,Female,0,No,Yes,21,Yes,Yes,DSL,No,Yes,No,No,Month-to-month,No,Mailed check,39.61,831.81,Yes
CUST-1005,Male,0,Yes,No,24,No,No,Fiber optic,No,No,Yes,No,One year,No,Bank transfer (automatic),70.55,1693.2,No
CUST-1006,Male,0,No,No,3,Yes,No phone service,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),79.5,238.5,Yes
CUST-1007,Male,0,No,No,22,Yes,No,DSL,No,No,Yes,Yes,One year,No,Bank transfer (automatic),53.93,1186.46,Yes
CUST-1008,Female,1,Yes,Yes,53,Yes,No,Fiber optic,Yes,Yes,No,No,One year,No,Credit card (automatic),76.94,4077.82,No
CUST-1009,Male,0,No,Yes,2,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),108.75,217.5,Yes
CUST-1010,Female,0,No,Yes,30,No,No phone service,DSL,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),75.67,2270.1,No
CUST-1011,Male,0,Yes,Yes,38,Yes,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,92.08,3499.04,No
CUST-1012,Male,0,Yes,Yes,2,No,No phone service,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,100.53,201.06,Yes
CUST-1013,Female,0,Yes,Yes,64,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,No,Mailed check,118.87,7607.68,No
CUST-1014,Male,0,No,No,60,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),80.32,4819.2,No
CUST-1015,Male,0,No,No,21,No,Yes,DSL,No,No,No,Yes,One year,No,Electronic check,100.69,2114.49,Yes
CUST-1016,Female,0,Yes,Yes,33,Yes,No phone service,Fiber optic,No,No,No,Yes,Two year,No,Electronic check,116.26,3836.58,Yes
CUST-1017,Female,0,Yes,No,58,No,No,DSL,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,114.44,6637.52,No
CUST-1018,Female,0,No,No,22,No,No phone service,No,No,No,No,Yes,Month-to-month,No,Electronic check,34.11,750.42,No
CUST-1019,Female,1,Yes,Yes,49,Yes,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),60.64,2971.36,No
CUST-1020,Female,0,Yes,Yes,59,Yes,Yes,DSL,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),52.4,3091.6,No
CUST-1021,Male,0,Yes,No,42,Yes,No phone service,No,Yes,No,Yes,Yes,Two year,No,Electronic check,28.69,1204.98,No
CUST-1022,Female,0,No,Yes,60,Yes,No,Fiber optic,No,No,No,No,One year,No,Bank transfer (automatic),83.32,4999.2,No
CUST-1023,Male,0,No,Yes,15,Yes,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),93.59,1403.85,Yes
CUST-1024,Male,0,No,No,62,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Mailed check,104.81,6498.22,No
CUST-1025,Male,0,No,Yes,62,No,No phone service,DSL,No,No,No,No,One year,No,Bank transfer (automatic),32.28,2001.36,No
CUST-1026,Female,0,No,No,47,No,Yes,DSL,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,107.64,5059.08,Yes
CUST-1027,Female,0,No,No,62,Yes,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,84.29,5225.98,No
CUST-1028,Male,1,Yes,No,51,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.39,4609.89,No
CUST-1029,Female,0,No,No,55,No,Yes,Fiber optic,No,No,Yes,Yes,One year,No,Mailed check,111.06,6108.3,Yes
CUST-1030,Female,1,No,No,64,Yes,No,Fiber optic,No,Yes,Yes,Yes,One year,No,Electronic check,82.48,5278.72,No
CUST-1031,Female,0,Yes,Yes,3,Yes,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),53.59,160.77,Yes
CUST-1032,Female,0,No,Yes,51,No,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),102.51,5228.01,No
CUST-1033,Male,0,No,Yes,7,Yes,Yes,DSL,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),56.31,394.17,No
CUST-1034,Male,0,Yes,Yes,21,No,Yes,DSL,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),23.42,491.82,No
CUST-1035,Female,1,Yes,No,39,Yes,No,DSL,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),103.07,4019.73,Yes
CUST-1036,Male,0,Yes,No,18,No,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,54.52,981.36,Yes
CUST-1037,Female,1,No,Yes,4,No,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),97.38,389.52,Yes
CUST-1038,Female,0,Yes,No,60,No,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),56.28,3376.8,No
CUST-1039,Male,0,No,Yes,14,No,Yes,DSL,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),106.11,1485.54,Yes
