CustomerID,Gender,Age,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,InternetService,TechSupport,Churn
CUST1000,Male,74,9,62.16,570.05,One year,Bank transfer,DSL,No internet service,No
CUST1001,Female,74,10,108.0,1086.15,Month-to-month,Mailed check,Fiber optic,No,Yes
CUST1002,Male,54,21,66.07,1401.01,Month-to-month,Mailed check,Fiber optic,No,No
CUST1003,Male,22,20,111.08,2254.08,Month-to-month,Bank transfer,Fiber optic,Yes,No
CUST1004,Male,50,12,21.65,289.95,Month-to-month,Mailed check,Fiber optic,Yes,No
CUST1005,Male,67,50,74.77,3767.25,Month-to-month,Credit card,No,No internet service,No
CUST1006,Male,27,6,49.22,290.83,One year,Bank transfer,DSL,No,Yes
CUST1007,Female,34,17,41.89,758.12,Month-to-month,Bank transfer,DSL,Yes,Yes
CUST1008,Female,57,57,63.61,3588.57,Two year,Electronic check,Fiber optic,No internet service,No
CUST1009,Male,45,69,119.64,8213.68,Two year,Credit card,DSL,No internet service,No
CUST1010,Female,64,51,46.78,2347.27,Two year,Bank transfer,No,No internet service,No
CUST1011,Female,63,67,106.52,7116.71,One year,Credit card,No,No internet service,Yes
CUST1012,Male,39,3,42.44,148.96,Month-to-month,Electronic check,DSL,Yes,No
CUST1013,Female,38,48,93.46,4486.68,Month-to-month,Bank transfer,DSL,Yes,Yes
CUST1014,Male,64,6,51.01,287.02,Month-to-month,Bank transfer,DSL,Yes,No
CUST1015,Female,73,5,25.46,78.01,Two year,Credit card,DSL,Yes,No
CUST1016,Male,49,16,108.52,1756.32,Two year,Bank transfer,Fiber optic,Yes,Yes
CUST1017,Female,49,53,72.62,3894.48,One year,Bank transfer,Fiber optic,No,Yes
CUST1018,Female,68,17,115.03,1910.93,Month-to-month,Bank transfer,DSL,Yes,Yes
CUST1019,Male,53,39,91.25,3522.87,Two year,Bank transfer,No,No,Yes
CUST1020,Male,48,5,41.09,182.85,Two year,Mailed check,Fiber optic,No,Yes
CUST1021,Male,23,25,86.53,2166.16,Month-to-month,Bank transfer,DSL,No,Yes
CUST1022,Female,71,21,94.36,1969.37,One year,Bank transfer,No,Yes,No
CUST1023,Female,38,8,107.37,871.42,Month-to-month,Bank transfer,Fiber optic,Yes,No
CUST1024,Female,52,46,96.94,4448.64,One year,Electronic check,DSL,No,No
CUST1025,Male,31,34,87.56,3026.1,Two year,Bank transfer,DSL,Yes,No
CUST1026,Female,40,35,42.69,1521.49,Month-to-month,Credit card,Fiber optic,Yes,Yes
